"ID","Incident Time","Source","Policies","Channel","Destination","Severity","Action","Maximum Matches","Transaction Size (KB)","Status",
"1266214","21 Aug. 2020, 10:39:26 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","45.8","New",
"1266211","21 Aug. 2020, 10:39:25 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","45.8","New",
"1266208","21 Aug. 2020, 10:39:24 PM GMT+0530","nikunjprajapati","Poland PII","Endpoint HTTPS","bifrost-api.hotstar.com","Medium","Permitted","1","4.7","New",
"1266411","21 Aug. 2020, 10:39:12 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","2.3","New",
"1266063","21 Aug. 2020, 10:38:53 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","1.3","New",
"1266336","21 Aug. 2020, 10:38:25 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","36.3","New",
"1266183","21 Aug. 2020, 10:38:24 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","36.3","New",
"1266034","21 Aug. 2020, 10:37:32 PM GMT+0530","hinaagarwal","Slovakia PII; Poland PII","Endpoint HTTPS","www.google.com","Medium","Permitted","1","13.1","New",
"1265659","21 Aug. 2020, 10:37:30 PM GMT+0530","lakshmikantha","Source code","Endpoint application (File Access)","Microsoft Office Outlook","Medium","Permitted","6","662.1","New",
"1265656","21 Aug. 2020, 10:37:23 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","33.1","New",
"1265653","21 Aug. 2020, 10:37:22 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","33.1","New",
"1265951","21 Aug. 2020, 10:37:19 PM GMT+0530","divyanigupta","Source code","Endpoint application (File Access)","Chrome","Medium","Permitted","2","2846.8","New",
"1266050","21 Aug. 2020, 10:36:25 PM GMT+0530","jaskeeratsingh","Password files","Endpoint application (File Access)","iCloud","Medium","Permitted","0","6.8","New",
"1266047","21 Aug. 2020, 10:36:22 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","84.2","New",
"1266177","21 Aug. 2020, 10:36:20 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","84.2","New",
"1266022","21 Aug. 2020, 10:35:31 PM GMT+0530","ts","Poland PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","1","64.3","New",
"1266019","21 Aug. 2020, 10:35:22 PM GMT+0530","divyanigupta","Poland PII","Endpoint HTTPS","www.linkedin.com","High","Permitted","4","21.1","New",
"1265640","21 Aug. 2020, 10:35:17 PM GMT+0530","prateekvarshney","Poland PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","2","2E+1","New",
"1265637","21 Aug. 2020, 10:35:17 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","105.1","New",
"1265634","21 Aug. 2020, 10:35:14 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","105.1","New",
"1265941","21 Aug. 2020, 10:34:53 PM GMT+0530","divyanigupta","Poland PII","Endpoint HTTPS","www.linkedin.com","High","Permitted","5","54.4","New",
"1266040","21 Aug. 2020, 10:34:41 PM GMT+0530","ts","Poland PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","2","6E+1","New",
"1266121","21 Aug. 2020, 10:34:05 PM GMT+0530","prateekvarshney","Poland PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","1.8","New",
"1266118","21 Aug. 2020, 10:34:04 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","4.8","New",
"1265809","21 Aug. 2020, 10:34:03 PM GMT+0530","divyanigupta","Slovakia PII; Croatia PII; Poland PII","Endpoint HTTPS","www.linkedin.com","High","Permitted","27","68.3","New",
"1265806","21 Aug. 2020, 10:34:02 PM GMT+0530","varunnaik","Poland PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","1","42","New",
"1265982","21 Aug. 2020, 10:33:27 PM GMT+0530","divyanigupta","Slovakia PII; Croatia PII; Poland PII","Endpoint HTTPS","www.linkedin.com","High","Permitted","16","42","New",
"1265627","21 Aug. 2020, 10:32:52 PM GMT+0530","divyanigupta","Poland PII","Endpoint HTTPS","www.linkedin.com","Medium","Permitted","1","8","New",
"1265903","21 Aug. 2020, 10:32:33 PM GMT+0530","divyanigupta","Croatia PII; Poland PII","Endpoint HTTPS","www.linkedin.com","High","Permitted","20","61.7","New",
"1265358","21 Aug. 2020, 10:32:03 PM GMT+0530","it","Poland PII","Endpoint HTTPS","logging.prefixbox.com","Medium","Permitted","2","7.9","New",
"1265798","21 Aug. 2020, 10:31:57 PM GMT+0530","prateekvarshney","Poland PII","Endpoint HTTPS","www.quora.com","High","Permitted","3","29.5","New",
"1265871","21 Aug. 2020, 10:31:51 PM GMT+0530","it","Poland PII","Endpoint HTTPS","logging.prefixbox.com","Medium","Permitted","2","7.9","New",
"1265868","21 Aug. 2020, 10:31:51 PM GMT+0530","it","Poland PII","Endpoint HTTPS","api-js.mixpanel.com","High","Permitted","3","13.3","New",
"1265865","21 Aug. 2020, 10:31:45 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","log.quora.com","High","Permitted","3","1.2","New",
"1265862","21 Aug. 2020, 10:31:45 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","0.8","New",
"1265859","21 Aug. 2020, 10:31:45 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","2","0.4","New",
"1265856","21 Aug. 2020, 10:31:45 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","0.8","New",
"1265853","21 Aug. 2020, 10:31:45 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","0.9","New",
"1265850","21 Aug. 2020, 10:31:45 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","0.8","New",
"1265847","21 Aug. 2020, 10:31:45 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","0.8","New",
"1265620","21 Aug. 2020, 10:31:39 PM GMT+0530","it","Poland PII","Endpoint HTTPS","logging.prefixbox.com","Medium","Permitted","2","7.9","New",
"1265578","21 Aug. 2020, 10:31:31 PM GMT+0530","divyanigupta","Poland PII","Endpoint HTTPS","www.linkedin.com","Medium","Permitted","1","8.4","New",
"1265575","21 Aug. 2020, 10:31:27 PM GMT+0530","it","Poland PII","Endpoint HTTPS","api-js.mixpanel.com","Medium","Permitted","1","1.4","New",
"1265572","21 Aug. 2020, 10:31:27 PM GMT+0530","it","Poland PII","Endpoint HTTPS","logging.prefixbox.com","Medium","Permitted","2","7.9","New",
"1265566","21 Aug. 2020, 10:31:25 PM GMT+0530","piyushgurnule","Database Dumps/Backup Files; Source code","Endpoint application (File Access)","Firefox","Medium","Permitted","4","27320.4","New",
"1265348","21 Aug. 2020, 10:31:18 PM GMT+0530","divyanigupta","Poland PII","Endpoint HTTPS","www.linkedin.com","Medium","Permitted","1","11","New",
"1265345","21 Aug. 2020, 10:31:15 PM GMT+0530","it","Poland PII","Endpoint HTTPS","logging.prefixbox.com","Medium","Permitted","2","7.6","New",
"1265782","21 Aug. 2020, 10:31:10 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","log.quora.com","Medium","Permitted","1","0.6","New",
"1265779","21 Aug. 2020, 10:31:09 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","0.8","New",
"1265776","21 Aug. 2020, 10:31:07 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","log.quora.com","Medium","Permitted","1","0.6","New",
"1265773","21 Aug. 2020, 10:31:03 PM GMT+0530","it","Poland PII","Endpoint HTTPS","logging.prefixbox.com","Medium","Permitted","2","7.7","New",
"1265497","21 Aug. 2020, 10:30:59 PM GMT+0530","piyushgurnule","Database Dumps/Backup Files; Source code","Endpoint application (File Access)","Firefox","Medium","Permitted","7","11622.4","New",
"1265490","21 Aug. 2020, 10:30:53 PM GMT+0530","divyanigupta","Croatia PII; Poland PII","Endpoint HTTPS","www.linkedin.com","High","Permitted","16","34.3","New",
"1265607","21 Aug. 2020, 10:30:51 PM GMT+0530","it","Poland PII","Endpoint HTTPS","logging.prefixbox.com","Medium","Permitted","2","7.7","New",
"1265604","21 Aug. 2020, 10:30:51 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","0.8","New",
"1265601","21 Aug. 2020, 10:30:44 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","0.8","New",
"1265553","21 Aug. 2020, 10:30:39 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","log.quora.com","Medium","Permitted","1","0.6","New",
"1265550","21 Aug. 2020, 10:30:39 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","0.8","New",
"1265547","21 Aug. 2020, 10:30:39 PM GMT+0530","it","Poland PII","Endpoint HTTPS","logging.prefixbox.com","Medium","Permitted","2","7.5","New",
"1265338","21 Aug. 2020, 10:30:24 PM GMT+0530","it","Poland PII","Endpoint HTTPS","logging.prefixbox.com","Medium","Permitted","2","7.5","New",
"1265666","21 Aug. 2020, 10:30:21 PM GMT+0530","piyushgurnule","Encrypted Files","Endpoint application (File Access)","iTunes","Medium","Permitted","0","32","New",
